PDMS_LINENUMBER;PID;ISO;STRESS;SUPPORT
027A7/021930-150-SCIP1-10SS21-0003;50;60;0;0
027A7/021702-150-WE-10SS21-0016;50;60;0;0
027A7/021918-150-PC-10SS21-0008;50;60;0;0
027A7/021701-300-WE-10SS21-0025;50;60;0;0
027R1/021702-150-PC-10SS21-0002;50;0;0;0
027R1/021930-150-WW-10SS21-0046;50;0;0;0
027R1/021925-150-PV-10SS21-0001;50;0;0;0
027R1/021701-100-CIP-10SS21-0003;50;0;0;0
027R1/021930-HOLD-WW-10SS21-0020;50;0;0;0
027R1/021701-150-WW-10SS21-hold;50;0;0;0
027R1-021702-150-WE-10SS21-0016;50;0;0;0
027R1/021701-200-WE-10SS21-0007;50;0;0;0
027R1-021702-150-WE-10SS21-0013;50;0;0;0
027R1/XXXXXX-150-CIP-10SS21-XXXXX;50;0;0;0
027R1/021918-150-PC-10SS21-0009;50;0;0;0
027R1/021961-250-CWS2-10CS21-0009;50;0;0;0
027R1/021918-250-CWR2-10CS21-0001;50;0;0;0
027R1/021917-100-PW-10SS21-00014;50;0;0;0
027R1/021925-150-CIP-10SS21-0004;50;0;0;0
027R1/021930-200-WW-10SS21-0002;50;0;0;0
027R1/021701-80-WE-10SS21-0031;50;0;0;0
027R1/021701-80-WE-10SS21-0018;50;0;0;0
027R1/001704-150-WX-10SS21-0010;50;0;0;0
027R1/021933-100-WW-10SS21-0001;50;0;0;0
027R1/021702-100-SCIP1-10SS21-0005;50;0;0;0
001000-150-WF-HOLD-0007;50;60;0;0
027A1/001704-200-WW-10SS21-0001;50;60;0;0
001000-200-WF-HOLD-0010;50;60;0;0
027A7/021918-200-AV-10SU21-0001;50;60;0;0
027A7/021930-150-WW-10SS21-0046;50;60;0;0
027A7/021925-100-CIP-10SS21-0009;50;60;0;0
027A7/021925-150-PV-10SS21-0001;50;60;0;0
027A7/021701-100-CIP-10SS21-0003;50;60;0;0
027A7/021918-150-PC-10SS21-0011;50;60;0;0
027A7/021930-HOLD-WW-10SS21-0020;50;60;0;0
027A7/021701-150-WW-10SS21-hold;50;60;0;0
027A7/021930-200-AV-10SU21-0005;50;60;0;0
027A7/021702-100-SCIP1-10SS21-0005;50;60;0;0
027A7/021918-200-PC-10SS21-0001;50;60;0;0
027A7/021702-150-PC-10SS21-0002;50;60;0;0
027A7/021918-100-PC-10SS21-004;50;60;0;0
027A7/021925-250-CIP-10SS21-0012;50;60;0;0
027R1/021702-100-WE-10SS21-0007;50;0;0;0
