AREA,TAG,DIAMETER,CALC_NOTES,PID,ISO,STRESS,SUPPORT
30RK1,30RK1-10-FV-04517-11002KS-01,250,unset,50,30,0,0
30RK1,30RK1-2-EO-HOLD-13085-FX-01,50,unset,50,30,0,0
30RK1,30RK1-2-EO-0407-13085-FX-01,50,unset,50,30,0,0
30RK1,30RK1-2-P-20223-11042-H-01,50,unset,50,60,0,0
30RK1,30RK1-2-WW-20407-13081-01,150,unset,50,30,0,0
30RK1,30RK1-1-EH-00109-13081-01,25,unset,0,30,0,0
30RK1,30RK1-1-CH4-00104-11001-01,25,unset,0,30,0,0
30RK1,30RK1-2-NIH-00211-61011-01,50,unset,50,30,0,0
30A11,30A11-10-P-20602-33081-01,250,unset,50,60,0,0
30A11,30A11-30-P-20608-33086-H-01,900,unset,50,60,0,0
30A11,30A11-10-P-20605-33081-01,250,unset,50,60,0,0
30A11,30A11-10-P-20704-33081-01,250,unset,50,60,0,0
30A11,30A11-10-CWS-60405-17130-01,250,unset,50,30,0,0
30A11,30A11-10-CWR-20716-17130-01,250,unset,50,30,0,0
30A11,30A11-10-CWR-21020-17130-01,250,unset,50,30,0,0
30A11,30A11-36-P-20201-31042-IT-01,900,unset,50,60,0,0
30A11,30A11-10-CWS-60407-17130-01,250,unset,50,30,0,0
30A11,30A11-4-P-20209-31042-H-01,100,unset,50,60,0,0
30A11,30A11-6-P-20607-31042-01,150,unset,50,60,0,0
30A11,30A11-6-P-20613-31042-01,150,unset,50,60,0,0
30A11,30A11-8-P-20614-11001-01,200,unset,50,60,0,0
30A11,30A11-8-P-20609-11001-01,200,unset,50,60,0,0
30A11,30A11-4-NIL-60501-11001-01,100,unset,50,60,0,0
30A11,30A11-4-NIM-00202-31011,100,unset,50,30,0,0
30A11,30A11-16-P-20604-33086-01,400,unset,50,60,0,0
30A11,30A11-1.5-P-20617-33081-01,40,unset,50,60,0,0
30A11,30A11-36-P-20202-31042-H-01,900,unset,50,60,0,0
30A11,30A11-4-P-20225-31042-H-01,100,unset,50,60,0,0
30A11,30A11-3-P-20219-31042-H-01,80,unset,50,30,0,0
30A11,30A11-2-P-20220-31042-H-01,50,unset,50,30,0,0
30A11,30A11-2-P-20223-11042-H-01,50,unset,50,60,0,0
30A11,30A11-3-P-20207-31042-H-01,80,unset,50,30,0,0
30A11,30A11-2-P-20208-31042-H-01,50,unset,50,30,0,0
30A11,30A11-2-P-20205-33086-IT-01,50,unset,50,30,0,0
30A11,30A11-1.5-P-20216-31042-H,40,unset,50,30,0,0
30A11,30A11-12-P-20610-33081-01,300,unset,50,60,0,0
30A11,30A11-16-P-20603-33086-01,400,unset,50,60,0,0
30A11,30A11-16-P-20801-33086-01,400,unset,50,60,0,0
30A11,30A11-16-P-20616-33086-01,400,unset,50,60,0,0
30A11,30A11-10-CWR-21031-13999-01,250,unset,50,60,0,0
30A11,30A11-10-CWS-21030-13999-01,250,unset,50,60,0,0
30A11,30A11-1.5-CWR-21003-11001-01,40,unset,0,30,0,0
30A11,30A11-10-CWS-20730-33999-01,250,unset,50,60,0,0
30A11,30A11-10-CWR-20726-33999-01,250,unset,50,60,0,0
30A11,30A11-12-P-20619-33081-01,350,unset,50,60,0,0
30A11,30A11-12-P-20620-33081-01,300,unset,50,60,0,0
30A11,30A11-14-P-20701-33086-01,350,unset,50,60,0,0
30A11,30A11-14-P-20707-33086-01,300,unset,50,60,0,0
30A11,30A11-14-P-20708-33086-01,350,unset,50,60,0,0
30A11,30A11-3-P-20204-31042-IT-01,80,unset,50,60,0,0
30A11,30A11-10-P-20206-33086-IT-01,250,unset,50,60,0,0
30A11,30A11-6-P-30308-33086-FX-01,0,unset,50,60,0,0
30A11,30A11-12-P-20611-33081-01,350,unset,50,60,0,0
30A12,30A12-2-P-21029-13451-01,50,unset,50,60,0,0
30A12,30A12-20-P-20926-13086-H-01,500,unset,50,60,0,0
30A12,30A12-1-DMW-60702-13081-01,25,unset,50,60,0,0
30A12,30A12-24-CWR-20713-13999-01,600,unset,0,30,0,0
30A12,30A12-36-CWR-60402-17130-01,900,unset,50,60,0,0
30A12,30A12-12-CWS-20727-13999-01,300,unset,0,30,0,0
30A12,30A12-36-CWS-00207-17130-01,900,unset,50,60,0,0
30A12,30A12-24-CWS-60406-17130-01,600,unset,0,30,0,0
30A12,30A12-8-P-20728-33086-01,200,unset,50,60,0,0
30A12,30A12-1.5-P-20913-13086-H-01,40,unset,50,60,0,0
30A12,30A12-24-CWS-20711-13999-01,600,unset,50,30,0,0
30A12,30A12-24-CWR-20717-17130-01,600,unset,50,30,0,0
30A12,30A12-2-P-21006-13081-P-01,50,unset,50,60,0,0
30A12,30A12-12-CWR-20731-13999-01,300,unset,50,60,0,0
30A12,30A12-14-P-20823-33086-H-01,400,unset,50,60,0,0
30A12,30A12-2-P-20911-13086-H-01,0,unset,50,60,0,0
30A12,30A12-2-P-20921-13086-H-01,50,unset,50,60,0,0
30A12,30A12-2-HEG-21026-13451-IT-01,50,unset,50,60,0,0
30A12,30A12-2-HEG-21027-13451-IT-01,50,unset,50,60,0,0
30A12,30A12-14-P-20701-33086-01,350,unset,50,60,0,0
30A12,30A12-12-P-20307-13081-H-01,300,unset,50,60,0,0
30A12,30A12-30-P-20104-33086-H-01,750,unset,50,60,0,0
30A12,30A12-6-MPS-90205-11261-H-01,100,unset,50,60,0,0
30A12,30A12-6-P-20810-13081-H-01,150,unset,50,60,0,0
30A12,30A12-4-P-20809-33086-H-01,100,unset,50,60,0,0
30A12,30A12-6-LPS-HOLD-13086-H-01,150,unset,50,60,0,0
30A12,30A12-6-LPS-90213-11261-H-01,150,unset,50,60,0,0
30A12,30A12-3-CAB-20318-31042-IT,80,unset,50,30,0,0
30A12,30A12-4-PC-20122-33081-H-01,200,unset,50,60,0,0
30A12,30A12-4-PC-20117-13081-H-01,200,unset,50,60,0,0
30A12,30A12-4-P-20328-13081-H-01,100,unset,50,60,0,0
30A12,30A12-4-PC-20329-13081-H-01,100,unset,50,60,0,0
30A12,30A12-2-CH4-10122-11001-01,50,unset,50,60,0,0
30A12,30A12-2-PC-20115-33081-01,100,unset,50,60,0,0
30A12,30A12-30-P-20101-31042-H-01,750,unset,50,60,0,0
30A12,30A12-2-P-20306-13081-H-01,50,unset,50,60,0,0
30A12,30A12-2-DMW-60703-13081-01,50,unset,50,30,0,0
30A12,30A12-4-P-20925-13086-H-01,100,unset,50,60,0,0
30A12,30A12-30-P-20102-33086-P-01,750,unset,50,60,0,0
30A12,30A12-12-MPS-90207-11261-H-01,300,unset,50,60,0,0
30A12,30A12-8-MPC-20928-11011-H-01,200,unset,50,60,0,0
30A12,30A12-10-P-20303-13081-H-01,250,unset,50,60,0,0
30A12,30A12-12-P-20325-11001-P-01,300,unset,50,60,0,0
30A12,30A12-12-P-20324-11001-P-01,300,unset,50,60,0,0
30A12,30A12-18-P-20308-13081-P-01,450,unset,50,60,0,0
30A12,30A12-2-P-21002-13451-H-01,50,unset,50,60,0,0
30A12,30A12-1.5-CAB-20131-31008-01,250,unset,50,60,0,0
30A12,30A12-14-P-20811-33086-H-01,350,unset,50,60,0,0
30A12,30A12-2-P-20113-33086-P-01,50,unset,50,60,0,0
30A12,30A12-4-P-20118-11001-P-01,100,unset,50,60,0,0
30A12,30A12-3-P-20138-33086-H-01,80,unset,50,30,0,0
30A12,30A12-16-CAB-20111-31008-H-01,400,unset,50,60,0,0
30A12,30A12-1-CAB-20119-31008-01,25,unset,50,60,0,0
30A12,30A12-10-CAB-20107-31008-H-01,250,unset,50,60,0,0
30A12,30A12-4-P-21018-13451-H-01,100,unset,50,60,0,0
30A12,30A12-3-MPC-21019-11011-H-01,80,unset,50,30,0,0
30A12,30A12-10-P-20812-33081-H-01,200,unset,50,60,0,0
30A12,30A12-10-EO-20940-13085-FX-01,250,unset,50,60,0,0
30A12,30A12-10-EO-20941-13085-FX-01,250,unset,50,60,0,0
30A12,30A12-12-P-20918-11001-P-01,300,unset,50,60,0,0
30A12,30A12-12-P-20917-11001-P-01,300,unset,50,60,0,0
30A12,30A12-10-P-20341-13081-H-01,250,unset,50,60,0,0
30A12,30A12-10-P-20305-13081-H-01,250,unset,50,60,0,0
30A12,30A12-4-P-20133-11001-P-01,100,unset,50,60,0,0
30A12,30A12-10-CAB-20116-31008-H-01,400,unset,50,60,0,0
30A12,30A12-6-P-20304-13081-P-01,150,unset,50,60,0,0
30A12,30A12-6-P-20309-13081-P-01,150,unset,50,60,0,0
30A12,30A12-8-P-20338-11001-P-01,150,unset,50,60,0,0
30A12,30A12-8-P-20326-11001-P-01,200,unset,50,60,0,0
30A12,30A12-2-HEG-21009-13451-IT-01,50,unset,50,30,0,0
30A12,30A12-2-HEG-21008-13451-IT-01,50,unset,50,30,0,0
30A12,30A12-2-HEG-21010-13451-IT-01,50,unset,50,30,0,0
30A12,30A12-1.5-HEG-21015-13451-IT-01,40,unset,50,30,0,0
30A12,30A12-2-EO-20938-13085-FX-01,50,unset,50,60,0,0
30A12,30A12-2-P-20909-13086-H-01,50,unset,50,60,0,0
30A12,30A12-2-PC-20332-130813-01,50,unset,50,60,0,0
30A12,30A12-8-P-20349-13081-P-01,200,unset,50,60,0,0
30A12,30A12-16-P-20803-33086-01,400,unset,50,60,0,0
30A12,30A12-16-P-20804-33086-01,400,unset,50,60,0,0
30A12,30A12-2-P-20612-33081-H-01,50,unset,50,30,0,0
30A12,30A12-12-CAB-20335-31042-IT-01,300,unset,50,60,0,0
30A12,30A12-12-CWS-20135-33999-01,300,unset,50,60,0,0
30A12,30A12-8-MPS-20331-11261-H-01,100,unset,50,60,0,0
30A12,30A12-14-P-21028-13451-P-01,350,unset,50,60,0,0
30A12,30A12-8-P-20729-33086-01,200,unset,50,60,0,0
30A12,30A12-2-P-20132-33086-P-01,50,unset,50,60,0,0
30A12,30A12-8-P-20805-33086-H-01,350,unset,50,60,0,0
30A12,30A12-30-P-20919-13086-01,0,unset,50,60,0,0
30A12,30A12-8-P-20354-11001-P-01,200,unset,50,60,0,0
30A12,30A12-4-P-20350-13081-H-01,100,unset,50,60,0,0
30A12,30A12-24-EO-20901-13085-FX-01,600,unset,50,60,0,0
30A12,30A12-12-P-20302-11042-H-01,300,unset,50,60,0,0
30A12,30A12-20-P-20936-13086-H-01,500,unset,50,60,0,0
30A12,30A12-4-PC-20134-33081-H-01,100,unset,0,60,0,0
30A12,30A12-30-P-20103-33086-01,750,unset,50,60,0,0
30A12,30A12-1.5-HEG-21012-13451-IT-01,40,unset,0,30,0,0
30A12,30A12-0.75-CA-00214-31008-01,20,unset,0,60,0,0
30A13,30A13-4-P-30406-33081-H-01,100,unset,50,60,0,0
30A13,30A13-14-P-20823-33086-H-01,350,unset,50,60,0,0
30A13,30A13-20-P-20825-33086-H-01,500,unset,50,60,0,0
30A13,30A13-20-P-20822-13086-H-01,500,unset,50,60,0,0
30A13,30A13-20-P-20826-33086-H-01,500,unset,50,60,0,0
30A13,30A13-20-P-20905-13086-H-01,600,unset,50,60,0,0
30A13,30A13-8-P-30408-13081-H-01,200,unset,50,60,0,0
30A13,30A13-14-P-20824-33086-H-01,350,unset,50,60,0,0
30A13,30A13-4-MPS-90210-11261-H-01,100,unset,50,60,0,0
30A13,30A13-8-CWR-50629-13999-01,200,unset,50,60,0,0
30A13,30A13-8-CWS-60411-13999-01,200,unset,50,60,0,0
30A13,30A13-4-P-50640-11042-H-01,100,unset,50,60,0,0
30A13,30A13-1-NIL-60507-11001-01,25,unset,50,60,0,0
30A13,30A13-4-P-20209-31042-H-01,100,unset,50,60,0,0
30A13,30A13-4-P-20328-13081-H-01,100,unset,50,60,0,0
30A13,30A13-4-P-20301-13081-H-01,100,unset,50,60,0,0
30A13,30A13-4-P-30417-13081-IE-01,100,unset,50,60,0,0
30A13,30A13-8-P-30405-13081-IT-01,200,unset,50,60,0,0
30A13,30A13-4-P-30435-11001-01,100,unset,50,60,0,0
30A13,30A13-4-P-30418-31011-H-01,100,unset,50,60,0,0
30A13,30A13-6-CWR-30426-13999-01,150,unset,50,60,0,0
30A13,30A13-6-CWS-60410-13999-01,150,unset,50,60,0,0
30A13,30A14-4-P-30427-13081-P-01,100,unset,50,60,0,0
30A13,30A14-4-P-30415-13081-P-01,100,unset,50,60,0,0
30A13,30A13-8-P-30403-13081-H-01,200,unset,50,60,0,0
30A13,30A13-1.5-P-20914-13086-H-01,100,unset,50,60,0,0
30A13,20A13-6-P-20915-13086-H-01,150,unset,50,60,0,0
30A13,30A14-6-P-30416-11001-P-01,150,unset,50,60,0,0
30A13,30A14-6-P-30428-11001-P-01,150,unset,50,60,0,0
30A14,30A14-10-LPS-60114-11261-H-01,250,unset,50,60,0,0
30A14,30A14-10-LPS-60177-11251-P-01,250,unset,50,60,0,0
30A14,30A14-6-HPS-00208-91261-H-01,150,unset,50,60,0,0
30A14,30A14-8-HPS-10534-61261-H-01,200,unset,50,60,0,0
30A14,30A14-12-CWS-60414-17130-01,300,unset,50,60,0,0
30A14,30A14-12-CWR-60241-17130-01,300,unset,50,60,0,0
