ID,NAME,CODE
0,CONSERVATION DE CHALEUR,CC
1,CONSERVATION DU FROID,CF
2,PROTECTION DU PERDONNEL - T OPERATOIRE > 65ºC,PP
3,PROTECTION CONTRE LE GEL,PG
4,NON-CALORIFUGE,NI
5,LIGNE ENTERREE,UG
6,TRACAGE A LA VAPEUR (CC),TV
7,TRACAGE ELECTRIQUE (CC),TE
8,TRACAGE A L'EAU OU AUTRE LIQUIDE (CC INCLUS),TL
9,TRACAGE EN DOUBLE ENVELOPPE (CC INCLUS),TJ
